Name,year,month,HN,HS,HS_gapfill,HS_gapfill_frac
Abries_rm,2009,2,40,162.535714285714,,
Abries_rm,2009,3,,145.75,,
Abries_rm,2009,4,,,,
Abries_rm,2009,5,,,,
Abries_rm,2009,6,,,,
Abries_rm,2009,7,,,,
Abries_rm,2009,8,,,,
Abries_rm,2009,9,,,,
Abries_rm,2009,10,,,,
Abries_rm,2009,11,,,,
Abries_rm,2009,12,,,,
Abries_rm,2010,1,105,75.1379310344828,,
Abries_rm,2010,2,127,,,
Abries_rm,2010,3,,,,
Abries_rm,2010,4,,,,
Abries_rm,2010,5,,,,
Abries_rm,2010,6,,,,
Abries_rm,2010,7,,,,
Abries_rm,2010,8,,,,
Abries_rm,2010,9,,,,
Abries_rm,2010,10,,,,
Abries_rm,2010,11,,,,
Abries_rm,2010,12,,,,
Abries_rm,2011,1,54,56.6785714285714,,
Abries_rm,2011,2,,,,
Abries_rm,2011,3,,,,
Abries_rm,2011,4,,,,
Abries_rm,2011,5,,,,
Abries_rm,2011,6,,,,
Abries_rm,2011,7,,,,
Abries_rm,2011,8,,,,
Abries_rm,2011,9,,,,
Abries_rm,2011,10,,,,
Abries_rm,2011,11,,,,
Abries_rm,2011,12,,,,
Abries_rm,2012,1,,,,
Abries_rm,2012,2,,,,
Abries_rm,2012,3,,,,
Abries_rm,2012,4,,,,
Abries_rm,2012,5,,,,
Abries_rm,2012,6,,,,
Abries_rm,2012,7,,,,
Abries_rm,2012,8,,,,
Abries_rm,2012,9,,,,
Abries_rm,2012,10,,,,
Abries_rm,2012,11,,,,
Abries_rm,2012,12,,,,
Abries_rm,2013,1,,,,
Abries_rm,2013,2,,,,
Abries_rm,2013,3,,,,
Abries_rm,2013,4,,,,
Abries_rm,2013,5,,,,
Abries_rm,2013,6,,,,
Abries_rm,2013,7,,,,
Abries_rm,2013,8,,,,
Abries_rm,2013,9,,,,
Abries_rm,2013,10,,,,
Abries_rm,2013,11,,,,
Abries_rm,2013,12,,,,
Abries_rm,2014,1,95,66.4285714285714,,
Abries_rm,2014,2,122,,,
Abries_rm,2014,3,,,,
Abries_rm,2014,4,,,,
Abries_rm,2014,5,,,,
Abries_rm,2014,6,,,,
Abries_rm,2014,7,,,,
Abries_rm,2014,8,,,,
Abries_rm,2014,9,,,,
Abries_rm,2014,10,,,,
Abries_rm,2014,11,,,,
Abries_rm,2014,12,,,,
Abries_rm,2015,1,,,,
Abries_rm,2015,2,,,,
Abries_rm,2015,3,,74.1071428571429,,
Abries_rm,2015,4,,,,
Abries_rm,2015,5,,,,
Abries_rm,2015,6,,,,
Abries_rm,2015,7,,,,
Abries_rm,2015,8,,,,
Abries_rm,2015,9,,,,
Abries_rm,2015,10,,,,
Abries_rm,2015,11,,,,
Abries_rm,2015,12,,,,
Abries_rm,2016,1,,,,
Abries_rm,2016,2,,,,
Abries_rm,2016,3,,,,
Abries_rm,2016,4,,,,
Abries_rm,2016,5,,,,
Abries_rm,2016,6,,,,
Abries_rm,2016,7,,,,
Abries_rm,2016,8,,,,
Abries_rm,2016,9,,,,
Abries_rm,2016,10,,,,
Abries_rm,2016,11,,,,
Abries_rm,2016,12,,,,
Abries_rm,2017,1,22,31.1,,
Abries_rm,2017,2,81,49.5555555555556,,
Abries_rm,2017,3,,,,
Abries_rm,2017,4,,,,
Abries_rm,2017,5,,,,
Abries_rm,2017,6,,,,
Abries_rm,2017,7,,,,
Abries_rm,2017,8,,,,
Abries_rm,2017,9,,,,
Abries_rm,2017,10,,,,
Abries_rm,2017,11,,,,
Abries_rm,2017,12,,,,
Abries_rm,2018,1,,,,
Abries_rm,2018,2,,,,
Abries_rm,2018,3,,,,
Abries_rm,2018,4,,,,
Abries_rm,2018,5,,,,
Abries_rm,2018,6,,,,
Abries_rm,2018,7,,,,
Abries_rm,2018,8,,,,
Abries_rm,2018,9,,,,
Abries_rm,2018,10,,,,
Abries_rm,2018,11,,,,
Abries_rm,2018,12,,,,
Abries_rm,2019,1,37,,,
Abries_rm,2019,2,22,33.7692307692308,,
Abries_rm,2019,3,,,,
Abries_rm,2019,4,,,,
Abries_rm,2019,5,,,,
Abries_rm,2019,6,,,,
Abries_rm,2019,7,,,,
Abries_rm,2019,8,,,,
Abries_rm,2019,9,,,,
Abries_rm,2019,10,,,,
Abries_rm,2019,11,,,,
Abries_rm,2019,12,,,,
Agnieres_en_devoluy,1963,1,,,,
Agnieres_en_devoluy,1963,2,,,,
Agnieres_en_devoluy,1963,3,,,61.8064516129032,1
Agnieres_en_devoluy,1963,4,,,18.9,1
Agnieres_en_devoluy,1963,5,,,0.0714285714285714,0.903225806451613
Agnieres_en_devoluy,1963,6,,,,
Agnieres_en_devoluy,1963,7,,,,
Agnieres_en_devoluy,1963,8,,,,
Agnieres_en_devoluy,1963,9,,,,
Agnieres_en_devoluy,1963,10,,,,
Agnieres_en_devoluy,1963,11,,,1.6,1
Agnieres_en_devoluy,1963,12,,,2.29032258064516,1
Agnieres_en_devoluy,1964,1,,,1.29032258064516,1
Agnieres_en_devoluy,1964,2,,,,
Agnieres_en_devoluy,1964,3,,,7.21428571428571,0.903225806451613
Agnieres_en_devoluy,1964,4,,,0.333333333333333,1
Agnieres_en_devoluy,1964,5,,,,
Agnieres_en_devoluy,1964,6,,,,
Agnieres_en_devoluy,1964,7,,,,
Agnieres_en_devoluy,1964,8,,,,
Agnieres_en_devoluy,1964,9,,,,
